Unnamed: 0,Unnamed: 1,(€/000),%,%.1,%.2,%.3,%.4,%.5,%.6,S/N,S/N.1,S/N.2,S/N.3,S/N.4,S/N.5,S/N.6,%.7,%.8,A,T
A. ATTIVITÀ AMMISSIBILI ALLA TASSONOMIA,,,,,,,,,,,,,,,,,,,,
A.1. Attività ecosostenibili (allineate alla Tassonomia),,,,,,,,,C,dici,,,,,,,,,,
Trasmissione e distribuzione di energia elettrica,4.9,8.212,"11,5%",100%,0%,n/a,n/a,n/a,n/a,,S,,S,S,S,S,"11,5%",n/a,A,
Distribuzione del teleriscaldamento/teleraffrescamento,4.15,8.973,"12,6%",100%,0%,n/a,n/a,n/a,n/a,pEx assolut,S,S,,S,S,S,"12,6%",n/a,,
Infrastrutture per il trasporto ferroviario,6.14,1.424,2%,100%,0%,n/a,n/a,n/a,n/a,,S,S,S,S,S,S,2%,n/a,A,
Infrastrutture aeroportuali a basse emissioni dicarbonio,6.17,1.065,"1,5%",100%,0%,n/a,n/a,n/a,n/a,uota di OpE,S,S,S,S,S,S,"1,5%",n/a,A,
Acquisto e proprietà di edifici,7.7,24.068,"33,8%",100%,0%,n/a,n/a,n/a,n/a,,S,,,,,S,"33,8%",n/a,,
OpEx delle attività economiche ecosostenibili(allineate alla Tassonomia) (A.1),,43.741,"61,5%",100%,0%,0,0,0,0c,itigazione dmbiament,l,,,,,,"61,5%",,,
A.2 Attività ammisibili alla Tassonomia ma nonecosostenibili (attività non allineate alla Tassonomia),,,,,,,,,,,,,,,,,,,,
"Costruzione, espansione e gestione di sistemi diraccolta, trattamento e fornitura di acqua",5.1,2.705,"3,8%",,,,,,Ab,attamentoamento cli,al cam-atico,,,,,,,,,
Infrastrutture aeroportuali a basse emissioni dicarbonio,6.17,130.0,"0,2%",,,,,,,,,,,,,,,,,
Acquisto e proprietà di edifici,7.7,14.237,20%,,,,,,A,qua e risorarine,e,,,,,,,,,
OpEx delle attività ammissibili alla Tassonomiama non ecosostenibili (attività non allineate allaTassonomia) (A.2),,17.072,24%,,,,,,,,,,,,,,,,,
OpEx totale delle attività ammissibili allaTassonomia (A.1 + A.2),,60.814,"85,4%",,,,,,E,onomia cir,olare,,,,,,"61,5%",,,
B. ATTIVITÀ NON AMMISSIBILI ALLATASSONOMIA,,,,,,,,,I,quinament,,,,,,,,,,
OpEx totale delle attività ammissibili allaTassonomia,,10.359,"14,6%",,,,,,,,,,,,,,,,,
TOTALE (A + B),,71.173,100%,,,,,,s,stemi,,,,,,,,,,
